2023-11-01 09:40:46

Description 
===========

Start 0uA, 
Step 0.1uA, 
Stop 26uA, 
Integration 1000ms, 
Trigger 100mV
dc


IV Curve
========

Abbreviation: BC = Bias Current (muA), BV = Bias Voltage (V), C = Counts, IT = Integration Time (ms)
Detector number is attached to abbreviation, e.g. BV3 is the bias voltage of the third detector.

BC	BV1	BV2	BV3	BV4	BV5	BV6	BV7	BV8	C1	C2	C3	C4	C5	C6	C7	C8	IT

0.0	0.0	0.0	-0.002	0.001	0.001	0.002	-0.003	-0.004	0	0	0	1	1	1	843318418	0	1000.0
0.25	0.037	0.0	0.001	0.001	-0.001	-0.002	-0.003	0.0	0	0	0	0	0	0	843585629	0	1000.0
0.5	0.073	0.0	0.001	0.003	-0.002	-0.001	-0.004	-0.005	0	0	0	0	0	0	843640614	0	1000.0
0.75	0.11	0.0	-0.002	-0.002	-0.0	0.001	0.0	-0.001	0	0	0	0	0	0	843689331	0	1000.0
1.0	0.148	-0.001	-0.0	0.0	-0.003	-0.0	-0.001	-0.002	0	0	0	0	0	0	843706367	0	1000.0
1.25	0.188	0.0	-0.004	-0.002	-0.002	-0.003	-0.004	-0.005	0	0	0	0	0	0	843696980	0	1000.0
1.5	0.224	-0.001	-0.0	-0.002	-0.004	-0.003	-0.001	-0.005	0	0	0	0	0	0	843711595	0	1000.0
1.75	0.264	0.0	0.001	-0.002	0.002	0.001	0.0	-0.001	0	0	0	0	0	0	843717254	0	1000.0
2.0	0.297	-0.002	-0.003	-0.003	-0.0	0.001	-0.002	-0.004	0	0	0	0	0	0	843730472	0	1000.0
2.25	0.337	0.0	0.001	0.001	0.001	-0.0	-0.003	-0.007	0	0	0	0	0	0	843711462	0	1000.0
2.5	0.373	-0.003	0.005	-0.002	-0.001	-0.0	-0.003	-0.002	0	0	0	0	0	0	843732040	0	1000.0
2.75	0.408	-0.003	0.01	0.001	-0.003	-0.0	-0.003	0.0	0	0	0	0	0	0	843714067	0	1000.0
3.0	0.452	0.0	0.013	0.001	-0.003	0.003	-0.002	-0.001	0	0	0	0	0	0	843692832	0	1000.0
3.25	0.485	-0.001	0.015	-0.002	-0.001	-0.0	-0.005	-0.004	0	0	0	0	0	0	843720130	0	1000.0
3.5	0.525	-0.003	0.018	0.003	-0.002	-0.001	-0.004	-0.003	0	0	0	0	0	0	843722298	0	1000.0
3.75	0.564	-0.003	0.02	0.001	-0.0	0.001	0.0	0.001	0	0	0	0	0	0	843726787	0	1000.0
4.0	0.601	0.0	0.032	0.003	-0.004	-0.003	-0.004	-0.003	0	0	0	0	0	0	843721433	0	1000.0
4.25	0.635	0.0	0.04	0.001	-0.004	0.002	-0.004	0.0	0	0	0	0	0	0	843709752	0	1000.0
4.5	0.671	-0.003	0.117	0.0	-0.003	0.002	-0.003	0.0	0	0	0	0	0	0	843728371	0	1000.0
4.75	0.711	-0.003	0.154	0.001	-0.002	0.002	-0.004	-0.003	0	0	0	0	0	0	843736393	0	1000.0
