2023-11-01 09:46:35

Description 
===========

Start 0uA, 
Step 0.1uA, 
Stop 26uA, 
Integration 1000ms, 
Trigger 100mV
dc


IV Curve
========

Abbreviation: BC = Bias Current (muA), BV = Bias Voltage (V), C = Counts, IT = Integration Time (ms)
Detector number is attached to abbreviation, e.g. BV3 is the bias voltage of the third detector.

BC	BV1	BV2	BV3	BV4	BV5	BV6	BV7	BV8	C1	C2	C3	C4	C5	C6	C7	C8	IT

0.0	-0.003	-0.003	-0.002	0.002	-0.003	0.001	-0.002	-0.001	0	0	0	1	1	0	843276436	0	1000.0
0.25	0.033	-0.004	-0.001	-0.001	-0.001	-0.0	-0.003	0.0	0	0	0	0	0	0	843543528	0	1000.0
0.5	0.076	0.0	0.001	0.001	-0.0	0.001	-0.002	-0.001	0	0	0	0	0	0	843597920	0	1000.0
0.75	0.112	-0.001	-0.002	0.0	-0.003	-0.0	-0.003	0.0	0	0	0	0	0	0	843646107	0	1000.0
1.0	0.146	-0.001	-0.0	0.002	0.001	-0.0	-0.001	-0.004	0	0	0	0	0	0	843681656	0	1000.0
1.25	0.186	0.0	0.001	0.003	0.001	-0.002	-0.003	-0.002	0	0	0	0	0	0	843669664	0	1000.0
1.5	0.227	0.0	-0.002	0.001	-0.003	-0.002	-0.002	-0.001	0	0	0	0	0	0	843686260	0	1000.0
1.75	0.263	-0.003	-0.0	0.002	-0.003	0.001	0.0	0.001	0	0	0	0	0	0	843684382	0	1000.0
2.0	0.298	0.0	0.003	-0.002	-0.001	-0.0	-0.003	-0.002	0	0	0	0	0	0	843672650	0	1000.0
2.25	0.336	-0.001	-0.0	0.0	-0.0	0.001	-0.005	0.001	0	0	0	0	0	0	843690279	0	1000.0
2.5	0.374	0.0	0.005	-0.002	-0.003	0.002	-0.003	-0.004	0	0	0	0	0	0	843694898	0	1000.0
2.75	0.412	-0.001	0.007	0.0	-0.001	0.002	-0.001	-0.002	0	0	0	0	0	0	843626424	0	1000.0
3.0	0.449	-0.003	0.012	0.0	-0.003	-0.0	-0.003	-0.002	0	0	0	0	0	0	843669482	0	1000.0
3.25	0.483	-0.001	0.017	0.002	-0.0	0.001	-0.002	0.001	0	0	0	0	0	0	843679416	0	1000.0
3.5	0.522	-0.001	0.017	0.0	-0.001	-0.0	-0.001	-0.004	0	0	0	0	0	0	843682713	0	1000.0
3.75	0.562	-0.003	0.018	0.001	0.001	-0.002	-0.003	-0.002	0	0	0	0	0	0	843683546	0	1000.0
4.0	0.598	-0.003	0.034	0.0	-0.0	-0.002	-0.002	-0.004	0	0	0	0	0	0	843679080	0	1000.0
4.25	0.636	0.0	0.035	0.001	-0.001	0.002	-0.003	-0.004	0	0	0	0	0	0	843678037	0	1000.0
4.5	0.672	-0.003	0.118	-0.002	0.002	0.001	-0.002	-0.001	0	0	0	0	0	0	843676462	0	1000.0
4.75	0.713	0.002	0.154	0.001	-0.0	0.001	-0.002	-0.001	0	0	0	0	0	0	843668409	0	1000.0
5.0	0.749	-0.001	0.161	-0.002	-0.0	0.003	-0.002	-0.001	0	0	0	0	0	0	843679154	0	1000.0
5.25	0.787	-0.002	0.223	0.001	-0.001	-0.0	-0.003	-0.002	0	0	0	0	0	0	843682135	0	1000.0
5.5	0.823	0.0	0.235	0.001	-0.0	0.001	-0.002	-0.001	0	0	0	0	0	0	843694070	0	1000.0
5.75	0.861	-0.001	0.281	0.0	-0.003	-0.0	-0.003	-0.002	0	0	0	0	0	0	843701434	0	1000.0
6.0	0.899	0.0	0.294	0.003	-0.001	0.002	-0.003	-0.004	0	0	0	0	0	0	843692422	0	1000.0
6.25	0.933	-0.003	0.364	-0.004	0.002	0.001	-0.002	-0.001	0	0	0	0	0	0	843691557	0	1000.0
6.5	0.974	0.001	0.398	0.0	0.002	0.003	-0.005	-0.004	0	0	0	0	0	0	843680946	0	1000.0
6.75	1.011	-0.003	0.416	0.001	-0.001	-0.0	-0.003	-0.002	0	0	0	0	0	0	843701299	0	1000.0
