LECROYWR640Zi,59892,Waveform
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1
#1,01-Nov-2023 13:36:59,0                 
Time,Ampl
-4.043374e-08,0.00779644
-4.038374e-08,0.0113391
-4.033374e-08,0.0102406
-4.028374e-08,0.00364962
-4.023374e-08,-0.00511088
-4.018374e-08,-0.00453417
-4.013374e-08,0.00529737
-4.008374e-08,0.0112292
-4.003374e-08,0.0189736
-3.998374e-08,0.0258667
-3.993374e-08,0.0169689
-3.988374e-08,0.00700004
-3.983374e-08,0.0120806
-3.978374e-08,0.0215002
-3.973374e-08,0.0224339
-3.968374e-08,0.0137558
-3.963374e-08,0.0024962
-3.958374e-08,-0.0026118
-3.953374e-08,0.000573836
-3.948374e-08,0.00878509
-3.943374e-08,0.0164471
-3.938374e-08,0.0229831
-3.933374e-08,0.0291073
-3.928374e-08,0.0291347
-3.923374e-08,0.0266356
-3.918374e-08,0.0278165
-3.913374e-08,0.0261688
-3.908374e-08,0.0225163
-3.903374e-08,0.023093
-3.898374e-08,0.0219945
-3.893374e-08,0.0179575
-3.888374e-08,0.016914
-3.883374e-08,0.0180948
-3.878374e-08,0.0221593
-3.873374e-08,0.0275968
-3.868374e-08,0.0287777
-3.863374e-08,0.0269377
-3.858374e-08,0.0244112
-3.853374e-08,0.024521
-3.848374e-08,0.0277616
-3.843374e-08,0.0296016
-3.838374e-08,0.0284756
-3.833374e-08,0.0227085
-3.828374e-08,0.0173808
-3.823374e-08,0.0198799
-3.818374e-08,0.0235324
-3.813374e-08,0.0221043
-3.808374e-08,0.0253724
-3.803374e-08,0.0308374
-3.798374e-08,0.0249055
-3.793374e-08,0.0199623
-3.788374e-08,0.0227085
-3.783374e-08,0.0198799
-3.778374e-08,0.0176829
-3.773374e-08,0.0217199
-3.768374e-08,0.0218023
-3.763374e-08,0.0178751
-3.758374e-08,0.0166943
-3.753374e-08,0.0191659
-3.748374e-08,0.0235599
-3.743374e-08,0.0266356
-3.738374e-08,0.0253724
-3.733374e-08,0.0204566
-3.728374e-08,0.0124101
-3.723374e-08,0.00304545
-3.718374e-08,-0.00198017
-3.713374e-08,-0.00398492
-3.708374e-08,-0.00752757
-3.703374e-08,-0.00678608
-3.698374e-08,0.00348485
-3.693374e-08,0.0161725
-3.688374e-08,0.0233127
-3.683374e-08,0.0253449
-3.678374e-08,0.0277891
-3.673374e-08,0.0282834
-3.668374e-08,0.0225437
-3.663374e-08,0.0202918
-3.658374e-08,0.0212805
-3.653374e-08,0.0196877
-3.648374e-08,0.022022
-3.643374e-08,0.0240816
-3.638374e-08,0.0220494
-3.633374e-08,0.0213903
-3.628374e-08,0.02161
-3.623374e-08,0.0208685
-3.618374e-08,0.0208136
-3.613374e-08,0.0225437
-3.608374e-08,0.0222142
-3.603374e-08,0.0184519
-3.598374e-08,0.0164196
-3.593374e-08,0.0174083
-3.588374e-08,0.0212256
-3.583374e-08,0.0331168
-3.578374e-08,0.0421519
-3.573374e-08,0.0389388
-3.568374e-08,0.0396803
-3.563374e-08,0.0426462
-3.558374e-08,0.0354785
-3.553374e-08,0.027487
-3.548374e-08,0.0262237
-3.543374e-08,0.0268279
-3.538374e-08,0.0230106
-3.533374e-08,0.0172984
-3.528374e-08,0.0139206
-3.523374e-08,0.00985612
-3.518374e-08,0.00348485
-3.513374e-08,-0.0053855
-3.508374e-08,-0.009038
-3.503374e-08,0.000189363
-3.498374e-08,0.0119707
-3.493374e-08,0.0166119
-3.488374e-08,0.02161
-3.483374e-08,0.0316887
-3.478374e-08,0.0380325
-3.473374e-08,0.0346272
-3.468374e-08,0.0252625
-3.463374e-08,0.0199074
-3.458374e-08,0.0217748
-3.453374e-08,0.022324
-3.448374e-08,0.0168865
-3.443374e-08,0.0139755
-3.438374e-08,0.0219396
-3.433374e-08,0.0303156
-3.428374e-08,0.0282559
-3.423374e-08,0.0248506
-3.418374e-08,0.0279538
-3.413374e-08,0.0324302
-3.408374e-08,0.0331168
-3.403374e-08,0.0262512
-3.398374e-08,0.0153211
-3.393374e-08,0.0145797
-3.388374e-08,0.0221043
-3.383374e-08,0.0153486
-3.378374e-08,-0.00296881
-3.373374e-08,-0.00549535
-3.368374e-08,0.00466573
-3.363374e-08,0.0112842
-3.358374e-08,0.0142226
-3.353374e-08,0.0104878
-3.348374e-08,0.00389679
-3.343374e-08,7.95135e-05
-3.338374e-08,-0.00302374
-3.333374e-08,-3.03361e-05
-3.328374e-08,0.00842808
-3.323374e-08,0.0119982
-3.318374e-08,0.0129868
-3.313374e-08,0.0168316
-3.308374e-08,0.0201545
-3.303374e-08,0.0224614
-3.298374e-08,0.0237796
-3.293374e-08,0.0217473
-3.288374e-08,0.0165295
-3.283374e-08,0.0124376
-3.278374e-08,0.0114215
-3.273374e-08,0.00941673
-3.268374e-08,0.00873017
-3.263374e-08,0.012877
-3.258374e-08,0.0151564
-3.253374e-08,0.0150465
-3.248374e-08,0.0199348
-3.243374e-08,0.0266906
-3.238374e-08,0.0272673
-3.233374e-08,0.0195503
-3.228374e-08,0.00568184
-3.223374e-08,-0.00360045
-3.218374e-08,-0.00629176
-3.213374e-08,-0.0110702
-3.208374e-08,-0.0114822
-3.203374e-08,-0.00316105
-3.198374e-08,0.00727466
-3.193374e-08,0.0123552
-3.188374e-08,0.0103779
-3.183374e-08,0.0157056
-3.178374e-08,0.0282559
-3.173374e-08,0.030041
-3.168374e-08,0.0240542
-3.163374e-08,0.0225712
-3.158374e-08,0.0253449
-3.153374e-08,0.0269652
-3.148374e-08,0.0224064
-3.143374e-08,0.0175731
-3.138374e-08,0.0205665
-3.133374e-08,0.0245485
-3.128374e-08,0.0226811
-3.123374e-08,0.0177104
-3.118374e-08,0.0177104
-3.113374e-08,0.0215276
-3.108374e-08,0.0195229
-3.103374e-08,0.0180674
-3.098374e-08,0.0218297
-3.093374e-08,0.0213629
-3.088374e-08,0.0190011
-3.083374e-08,0.0189462
-3.078374e-08,0.0167492
-3.073374e-08,0.0166943
-3.068374e-08,0.0199897
-3.063374e-08,0.0197151
-3.058374e-08,0.0233951
-3.053374e-08,0.0363299
-3.048374e-08,0.0453101
-3.043374e-08,0.0410534
-3.038374e-08,0.0308923
-3.033374e-08,0.024164
-3.028374e-08,0.02161
-3.023374e-08,0.0194954
-3.018374e-08,0.020896
-3.013374e-08,0.0255371
-3.008374e-08,0.0192757
-3.003374e-08,0.00952657
-2.998374e-08,0.0104054
-2.993374e-08,0.00710988
-2.988374e-08,-0.00181539
-2.983374e-08,-0.000661971
-2.978374e-08,0.00771406
-2.973374e-08,0.0163647
-2.968374e-08,0.0244387
-2.963374e-08,0.0269103
-2.958374e-08,0.0247957
-2.953374e-08,0.0229831
-2.948374e-08,0.0178477
-2.943374e-08,0.0113666
-2.938374e-08,0.00771406
-2.933374e-08,0.00161741
-2.928374e-08,-0.00500103
-2.923374e-08,-0.00464402
-2.918374e-08,0.00310038
-2.913374e-08,0.0117236
-2.908374e-08,0.00889494
-2.903374e-08,-0.000854208
-2.898374e-08,0.0010407
-2.893374e-08,0.0119707
-2.888374e-08,0.0166393
-2.883374e-08,0.0120531
-2.878374e-08,0.00450096
-2.873374e-08,-0.00165062
-2.868374e-08,-0.000854208
-2.863374e-08,0.00853793
-2.858374e-08,0.0134812
-2.853374e-08,0.0104054
-2.848374e-08,0.0124651
-2.843374e-08,0.0161725
-2.838374e-08,0.0102681
-2.833374e-08,0.0057093
-2.828374e-08,0.0118334
-2.823374e-08,0.0188912
-2.818374e-08,0.0204566
-2.813374e-08,0.0193032
-2.808374e-08,0.0219396
-2.803374e-08,0.0302332
-2.798374e-08,0.0356433
-2.793374e-08,0.0348469
-2.788374e-08,0.0331168
-2.783374e-08,0.0283383
-2.778374e-08,0.0201271
-2.773374e-08,0.0200996
-2.768374e-08,0.0268279
-2.763374e-08,0.0283658
-2.758374e-08,0.0255097
-2.753374e-08,0.0233951
-2.748374e-08,0.0240542
-2.743374e-08,0.0290249
-2.738374e-08,0.0402295
-2.733374e-08,0.0499787
-2.728374e-08,0.0460241
-2.723374e-08,0.0339681
-2.718374e-08,0.0215551
-2.713374e-08,0.0146895
-2.708374e-08,0.016859
-2.703374e-08,0.0129319
-2.698374e-08,0.00472066
-2.693374e-08,0.00831823
-2.688374e-08,0.0190011
-2.683374e-08,0.0278714
-2.678374e-08,0.0307825
-2.673374e-08,0.0228184
-2.668374e-08,0.00977374
-2.663374e-08,0.00131532
-2.658374e-08,-0.00733533
-2.653374e-08,-0.0085986
-2.648374e-08,0.00268844
-2.643374e-08,0.00686272
-2.638374e-08,0.0136185
-2.633374e-08,0.0337484
-2.628374e-08,0.0459142
-2.623374e-08,0.0452002
-2.618374e-08,0.0396254
-2.613374e-08,0.0317162
-2.608374e-08,0.0239443
-2.603374e-08,0.0195778
-2.598374e-08,0.0174083
-2.593374e-08,0.016145
-2.588374e-08,0.0190835
-2.583374e-08,0.0195503
