LECROYWR640Zi,59892,Waveform
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1
#1,01-Nov-2023 13:34:12,0                 
Time,Ampl
-4.042945e-08,-0.0160684
-4.037945e-08,-0.0148875
-4.032945e-08,-0.014503
-4.027945e-08,-0.0113723
-4.022945e-08,-0.0121687
-4.017945e-08,-0.0182928
-4.012945e-08,-0.0216707
-4.007945e-08,-0.0252683
-4.002945e-08,-0.0284814
-3.997945e-08,-0.0234008
-3.992945e-08,-0.0135968
-3.987945e-08,-0.00395746
-3.982945e-08,0.00422633
-3.977945e-08,0.0052699
-3.972945e-08,0.00252367
-3.967945e-08,0.00307291
-3.962945e-08,0.00205681
-3.957945e-08,-0.00230971
-3.952945e-08,-0.00417716
-3.947945e-08,-0.00184285
-3.942945e-08,0.00288068
-3.937945e-08,0.00510513
-3.932945e-08,0.00131532
-3.927945e-08,-0.00148584
-3.922945e-08,0.000216825
-3.917945e-08,-0.00434193
-3.912945e-08,-0.0143382
-3.907945e-08,-0.0139812
-3.902945e-08,-0.00887322
-3.897945e-08,-0.010878
-3.892945e-08,-0.0085986
-3.887945e-08,-0.000689433
-3.882945e-08,0.00224904
-3.877945e-08,0.000354137
-3.872945e-08,-0.0104111
-3.867945e-08,-0.0206271
-3.862945e-08,-0.015272
-3.857945e-08,-0.013075
-3.852945e-08,-0.0228241
-3.847945e-08,-0.0266139
-3.842945e-08,-0.0246366
-3.837945e-08,-0.027685
-3.832945e-08,-0.0293602
-3.827945e-08,-0.0220002
-3.822945e-08,-0.012718
-3.817945e-08,-0.00511088
-3.812945e-08,-8.52608e-05
-3.807945e-08,0.000601299
-3.802945e-08,0.00260605
-3.797945e-08,0.0054896
-3.792945e-08,0.000299213
-3.787945e-08,-0.011949
-3.782945e-08,-0.0199955
-3.777945e-08,-0.0249113
-3.772945e-08,-0.0300193
-3.767945e-08,-0.0233184
-3.762945e-08,-0.0118117
-3.757945e-08,-0.0163979
-3.752945e-08,-0.0304037
-3.747945e-08,-0.0358688
-3.742945e-08,-0.0351547
-3.737945e-08,-0.0428991
-3.732945e-08,-0.0506984
-3.727945e-08,-0.04592
-3.722945e-08,-0.038972
-3.717945e-08,-0.0324085
-3.712945e-08,-0.0241972
-3.707945e-08,-0.0197209
-3.702945e-08,-0.0149699
-3.697945e-08,-0.00804935
-3.692945e-08,-0.00923024
-3.687945e-08,-0.0145854
-3.682945e-08,-0.00999918
-3.677945e-08,-0.00272165
-3.672945e-08,-0.00478133
-3.667945e-08,-0.0121687
-3.662945e-08,-0.0112899
-3.657945e-08,0.00205681
-3.652945e-08,0.00941673
-3.647945e-08,0.000683686
-3.642945e-08,-0.00810428
-3.637945e-08,-0.00623684
-3.632945e-08,-0.00417716
-3.627945e-08,-0.00684101
-3.622945e-08,-0.00653892
-3.617945e-08,-0.0092577
-3.612945e-08,-0.0174964
-3.607945e-08,-0.0144481
-3.602945e-08,-0.00129361
-3.597945e-08,0.00175472
-3.592945e-08,-0.00722548
-3.587945e-08,-0.00824159
