2023-11-01 09:24:51

Description 
===========

Start 0uA, 
Step 0.1uA, 
Stop 26uA, 
Integration 1000ms, 
Trigger 100mV
dc


IV Curve
========

Abbreviation: BC = Bias Current (muA), BV = Bias Voltage (V), C = Counts, IT = Integration Time (ms)
Detector number is attached to abbreviation, e.g. BV3 is the bias voltage of the third detector.

BC	BV1	BV2	BV3	BV4	BV5	BV6	BV7	BV8	C1	C2	C3	C4	C5	C6	C7	C8	IT

0.0	-0.004	-0.002	-0.003	-0.003	-0.0	-0.002	0.0	-0.001	0	0	0	1	0	0	843287016	0	1000.0
0.25	0.037	0.0	0.003	0.001	-0.0	-0.002	-0.002	0.001	0	0	0	0	0	0	843554270	0	1000.0
0.5	0.073	-0.003	-0.0	0.0	-0.003	-0.002	-0.005	-0.002	0	0	0	0	0	0	843614726	0	1000.0
0.75	0.11	0.0	0.003	-0.002	-0.0	0.001	-0.002	-0.001	0	0	0	0	0	0	843618743	0	1000.0
1.0	0.148	-0.003	-0.0	0.0	-0.001	-0.002	-0.003	-0.002	0	0	0	0	0	0	843665200	0	1000.0
1.25	0.185	-0.001	-0.0	-0.002	-0.001	0.002	-0.005	-0.002	0	0	0	0	0	0	843689940	0	1000.0
1.5	0.222	0.0	-0.002	-0.002	-0.003	-0.0	0.002	-0.004	0	0	0	0	0	0	843688553	0	1000.0
1.75	0.256	-0.003	0.001	-0.002	0.001	-0.0	-0.005	-0.002	0	0	0	0	0	0	843686812	0	1000.0
2.0	0.3	-0.001	-0.002	-0.002	-0.0	0.001	0.001	0.002	0	0	0	0	0	0	843691946	0	1000.0
2.25	0.335	-0.002	0.001	-0.001	0.001	-0.0	-0.001	-0.002	0	0	0	0	0	0	843707506	0	1000.0
2.5	0.371	-0.006	0.005	-0.002	-0.003	-0.0	-0.003	-0.002	0	0	0	0	0	0	843692434	0	1000.0
2.75	0.411	0.0	0.006	0.004	0.002	0.001	-0.002	-0.001	0	0	0	0	0	0	843685175	0	1000.0
3.0	0.452	-0.003	0.013	0.003	-0.001	0.002	-0.005	-0.002	0	0	0	0	0	0	843698142	0	1000.0
3.25	0.488	0.0	0.01	0.001	-0.001	-0.0	-0.005	-0.002	0	0	0	0	0	0	843677128	0	1000.0
3.5	0.523	0.0	0.016	0.001	-0.001	-0.0	-0.005	-0.002	0	0	0	0	0	0	843690547	0	1000.0
3.75	0.561	-0.003	0.02	-0.002	-0.001	-0.002	-0.005	0.0	0	0	0	0	0	0	843700659	0	1000.0
4.0	0.6	0.001	0.031	-0.003	-0.001	-0.0	-0.001	-0.002	0	0	0	0	0	0	843698802	0	1000.0
4.25	0.634	-0.001	0.037	0.0	0.001	0.002	-0.004	-0.003	0	0	0	0	0	0	843686470	0	1000.0
4.5	0.669	-0.001	0.12	-0.002	0.001	-0.001	-0.004	-0.003	0	0	0	0	0	0	843674915	0	1000.0
4.75	0.71	-0.001	0.154	0.0	-0.003	-0.0	-0.003	-0.002	0	0	0	0	0	0	843699586	0	1000.0
5.0	0.75	-0.003	0.167	-0.002	-0.001	-0.0	-0.003	-0.002	0	0	0	0	0	0	843663022	0	1000.0
5.25	0.786	0.0	0.223	-0.002	-0.002	-0.001	-0.004	-0.003	0	0	0	0	0	0	843670305	0	1000.0
5.5	0.822	-0.003	0.234	0.0	-0.001	-0.0	-0.003	0.0	0	0	0	0	0	0	843674961	0	1000.0
5.75	0.861	-0.003	0.281	0.0	-0.002	-0.001	-0.004	0.0	0	0	0	0	0	0	843697466	0	1000.0
6.0	0.898	-0.001	0.293	0.0	-0.0	0.001	0.0	-0.004	0	0	0	0	0	0	843696756	0	1000.0
6.25	0.935	0.0	0.362	0.001	-0.001	-0.0	-0.001	-0.002	0	0	0	0	0	0	843697454	0	1000.0
6.5	0.972	0.0	0.401	-0.002	-0.002	-0.001	-0.004	-0.005	0	0	0	0	0	0	843716115	0	1000.0
6.75	1.011	0.0	0.416	0.001	-0.001	-0.002	-0.003	-0.004	0	0	0	0	0	0	843724142	0	1000.0
7.0	1.048	-0.003	0.435	0.001	0.001	0.002	-0.003	0.0	0	0	0	0	0	0	843716590	0	1000.0
7.25	1.087	0.0	0.479	0.003	0.001	-0.0	-0.003	-0.002	0	0	0	0	0	0	843709000	0	1000.0
7.5	1.123	-0.001	0.498	0.0	-0.002	0.002	-0.001	0.0	0	0	0	0	0	0	843695778	0	1000.0
7.75	1.159	-0.001	0.518	0.0	0.001	-0.002	-0.005	-0.002	0	0	0	0	0	0	843708330	0	1000.0
8.0	1.201	-0.001	0.559	-0.002	-0.001	-0.002	-0.005	0.0	0	0	0	0	0	0	843698374	0	1000.0
8.25	1.238	-0.003	0.579	-0.002	-0.001	-0.002	0.002	-0.002	0	0	0	0	0	0	843714570	0	1000.0
8.5	1.272	-0.003	0.655	0.001	-0.002	-0.001	-0.001	-0.003	0	0	0	0	0	0	843693641	0	1000.0
8.75	1.311	-0.003	0.694	0.0	-0.0	-0.002	-0.002	-0.001	0	0	0	0	0	0	843687990	0	1000.0
9.0	1.35	0.0	0.716	-0.002	-0.003	0.002	-0.003	-0.004	0	0	0	0	0	0	843682326	0	1000.0
9.25	1.387	-0.003	0.743	-0.004	-0.001	-0.0	-0.005	-0.004	0	0	0	0	0	0	843639068	0	1000.0
9.5	1.426	-0.001	0.789	-0.002	-0.003	-0.002	-0.002	-0.004	0	0	0	0	0	0	843654851	0	1000.0
9.75	1.463	0.0	0.816	-0.002	-0.0	0.001	0.0	-0.004	0	0	0	0	0	0	843685200	0	1000.0
10.0	1.497	-0.003	0.902	0.003	-0.001	-0.0	-0.001	-0.002	0	0	0	0	0	0	843700983	0	1000.0
10.25	1.539	0.0	0.926	-0.002	-0.001	-0.0	-0.003	0.0	0	0	0	0	0	0	843709396	0	1000.0
10.5	1.575	0.0	0.948	-0.002	0.002	0.003	-0.002	-0.004	0	0	0	0	0	0	843704712	0	1000.0
10.75	1.611	-0.003	0.984	-0.002	-0.003	-0.0	-0.003	-0.002	0	0	0	0	0	0	843699198	0	1000.0
11.0	1.648	0.0	1.019	0.001	-0.003	-0.0	-0.003	-0.002	0	0	0	0	0	0	843684849	0	1000.0
11.25	1.687	-0.003	1.045	-0.002	-0.002	-0.001	-0.001	-0.005	0	0	0	0	0	0	843704766	0	1000.0
11.5	1.723	-0.003	1.07	-0.002	-0.001	-0.002	-0.003	0.0	0	0	0	0	0	0	843701176	0	1000.0
11.75	1.761	0.0	1.095	-0.002	-0.002	0.004	-0.002	-0.001	0	0	0	0	0	0	843703074	0	1000.0
12.0	1.8	-0.003	1.119	0.001	-0.001	-0.0	-0.001	-0.002	0	0	0	0	0	0	843712226	0	1000.0
12.25	1.834	0.0	1.205	0.003	-0.001	0.002	-0.003	-0.002	0	0	0	0	0	0	843707738	0	1000.0
12.5	1.873	-0.003	1.229	0.001	-0.001	-0.0	-0.003	-0.002	0	0	0	0	0	0	843699700	0	1000.0
12.75	1.912	-0.001	1.255	0.0	-0.003	-0.002	-0.003	0.003	0	0	0	0	0	0	843716581	0	1000.0
13.0	1.946	-0.003	1.282	-0.002	0.001	0.002	-0.003	0.0	0	0	0	0	0	0	843719731	0	1000.0
13.25	1.985	-0.006	1.343	0.0	-0.001	-0.0	-0.003	-0.004	0	0	0	0	0	0	843715980	0	1000.0
13.5	2.022	0.0	1.368	0.003	-0.005	0.001	0.0	-0.001	0	0	0	0	0	0	843663346	0	1000.0
13.75	2.061	-0.003	1.393	0.001	-0.003	-0.002	-0.001	-0.002	0	0	0	0	0	0	843687961	0	1000.0
14.0	2.098	0.0	1.422	-0.001	-0.004	-0.001	-0.004	0.0	0	0	0	0	0	0	843702081	0	1000.0
14.25	2.136	-0.003	1.448	-0.002	-0.001	-0.0	-0.005	-0.002	0	0	0	0	0	0	843697944	0	1000.0
14.5	2.171	0.0	1.524	-0.002	0.001	-0.0	-0.001	-0.004	0	0	0	0	0	0	843693145	0	1000.0
14.75	2.208	-0.003	1.554	-0.002	-0.002	-0.003	-0.004	-0.005	0	0	0	0	0	0	843705216	0	1000.0
15.0	2.247	-0.003	1.583	-0.002	-0.001	-0.0	-0.003	-0.002	0	0	0	0	0	0	843695103	0	1000.0
15.25	2.285	-0.001	1.619	-0.002	-0.003	0.002	-0.003	-0.002	0	0	0	0	0	0	843675586	0	1000.0
15.5	2.325	0.0	1.647	0.001	-0.002	-0.001	-0.006	-0.003	0	0	0	0	0	0	843692192	0	1000.0
15.75	2.361	0.002	1.673	0.003	-0.0	0.001	0.0	-0.001	0	0	0	0	0	0	843691677	0	1000.0
16.0	2.4	-0.003	1.717	0.0	0.002	0.001	-0.005	-0.004	0	0	0	0	0	0	843690293	0	1000.0
16.25	2.432	0.0	1.744	-0.002	-0.001	-0.002	-0.003	-0.002	0	0	0	0	0	0	843686194	0	1000.0
16.5	2.473	-0.004	1.772	-0.001	-0.003	0.003	-0.002	0.001	0	0	0	0	0	0	843700198	0	1000.0
16.75	2.51	-0.003	1.8	0.003	0.001	-0.003	-0.004	-0.003	0	0	0	0	0	0	843679728	0	1000.0
17.0	2.547	-0.003	1.847	-0.002	-0.001	-0.002	-0.003	-0.002	0	0	0	0	0	0	843691872	0	1000.0
17.25	2.586	0.0	1.871	0.001	-0.001	-0.002	-0.005	0.0	0	0	0	0	0	0	843693339	0	1000.0
17.5	2.623	0.0	1.92	0.001	-0.001	-0.0	-0.005	-0.002	0	0	0	0	0	0	843684204	0	1000.0
17.75	2.659	-0.001	1.946	0.002	-0.004	-0.003	-0.006	-0.003	0	0	0	0	0	0	843642073	0	1000.0
18.0	2.698	-0.003	1.976	-0.002	-0.0	0.003	-0.002	0.001	0	0	0	0	0	0	843671220	0	1000.0
18.25	2.737	-0.003	2.002	0.0	-0.002	-0.001	-0.004	0.0	0	0	0	0	0	0	843687077	0	1000.0
18.5	2.776	-0.003	2.032	-0.002	-0.003	0.001	-0.002	0.001	0	0	0	0	0	0	843679808	0	1000.0
18.75	2.811	0.0	2.062	0.001	-0.001	-0.0	-0.003	-0.002	0	0	0	0	0	0	843684901	0	1000.0
19.0	2.847	-0.003	2.088	-0.002	0.002	0.001	-0.002	-0.001	0	0	0	0	3	0	843694920	0	1000.0
19.25	2.885	-0.002	2.116	-0.004	-0.001	-0.002	0.71	-0.002	0	0	0	0	2	0	843693098	0	1000.0
19.5	2.926	0.002	2.145	0.001	-0.003	0.001	0.725	-0.001	0	0	0	0	6	0	843680770	0	1000.0
19.75	2.957	-0.003	2.205	-0.002	0.001	0.002	0.734	0.003	0	0	0	0	9	0	843683274	0	1000.0
20.0	2.996	-0.003	2.234	0.0	0.714	0.002	0.739	-0.003	0	0	0	0	1	0	843674415	0	1000.0
20.25	3.039	-0.002	2.265	0.001	0.722	-0.002	0.749	-0.002	0	0	0	0	0	0	843681948	0	1000.0
20.5	3.074	-0.003	2.291	-0.002	0.729	-0.001	0.763	-0.008	0	0	0	0	0	0	843681007	0	1000.0
20.75	3.111	0.002	2.408	0.001	0.741	-0.002	0.769	-0.002	0	0	0	0	0	0	843686522	0	1000.0
